Date,Open,High,Low,Close,Volume,Market Cap
11-Jul-21,"$2,110.88 ","$2,172.65 ","$2,083.80 ","$2,139.66 ","$14,705,386,138 ","$249,601,597,225 "
12-Jul-21,"$2,140.51 ","$2,167.71 ","$2,011.02 ","$2,036.72 ","$17,768,129,077 ","$237,619,933,340 "
13-Jul-21,"$2,034.10 ","$2,040.69 ","$1,922.58 ","$1,940.08 ","$16,621,628,658 ","$226,371,110,382 "
14-Jul-21,"$1,941.17 ","$2,015.11 ","$1,869.22 ","$1,994.33 ","$17,342,819,679 ","$232,727,182,406 "
15-Jul-21,"$1,994.71 ","$2,037.74 ","$1,883.27 ","$1,911.18 ","$15,688,092,552 ","$223,049,018,143 "
16-Jul-21,"$1,916.60 ","$1,959.70 ","$1,853.59 ","$1,880.38 ","$14,884,569,147 ","$219,480,196,483 "
17-Jul-21,"$1,876.88 ","$1,917.60 ","$1,855.59 ","$1,898.83 ","$13,364,282,076 ","$221,657,905,577 "
18-Jul-21,"$1,900.19 ","$1,988.34 ","$1,883.01 ","$1,895.55 ","$13,791,868,728 ","$221,300,983,041 "
19-Jul-21,"$1,893.05 ","$1,916.12 ","$1,807.91 ","$1,817.30 ","$14,157,735,481 ","$212,189,036,787 "
20-Jul-21,"$1,819.08 ","$1,837.00 ","$1,722.05 ","$1,787.51 ","$17,368,597,636 ","$208,735,078,074 "
21-Jul-21,"$1,786.28 ","$2,025.68 ","$1,759.02 ","$1,990.97 ","$21,253,359,756 ","$232,520,574,470 "
22-Jul-21,"$1,994.82 ","$2,044.12 ","$1,954.30 ","$2,025.20 ","$17,495,480,331 ","$236,545,322,693 "
23-Jul-21,"$2,025.11 ","$2,129.44 ","$2,000.44 ","$2,124.78 ","$16,200,392,492 ","$248,204,064,165 "
24-Jul-21,"$2,123.96 ","$2,197.65 ","$2,107.32 ","$2,189.22 ","$16,057,446,601 ","$255,761,140,995 "
25-Jul-21,"$2,187.15 ","$2,194.44 ","$2,108.83 ","$2,191.37 ","$14,566,483,636 ","$256,042,010,286 "
26-Jul-21,"$2,191.31 ","$2,428.82 ","$2,177.33 ","$2,233.37 ","$29,614,324,233 ","$260,978,030,148 "
27-Jul-21,"$2,230.20 ","$2,316.95 ","$2,154.73 ","$2,298.33 ","$23,067,480,378 ","$268,599,779,831 "
28-Jul-21,"$2,302.08 ","$2,341.78 ","$2,250.91 ","$2,296.55 ","$18,991,302,378 ","$268,421,055,914 "
29-Jul-21,"$2,299.01 ","$2,396.45 ","$2,273.40 ","$2,380.96 ","$16,313,373,113 ","$278,318,371,381 "
30-Jul-21,"$2,382.55 ","$2,469.70 ","$2,322.34 ","$2,466.96 ","$20,212,848,934 ","$288,404,129,264 "
31-Jul-21,"$2,461.58 ","$2,551.16 ","$2,423.82 ","$2,536.21 ","$18,001,710,283 ","$296,532,997,873 "
01-Aug-21,"$2,530.46 ","$2,695.43 ","$2,520.93 ","$2,561.85 ","$22,697,987,055 ","$299,564,961,374 "
02-Aug-21,"$2,557.77 ","$2,665.73 ","$2,511.38 ","$2,610.15 ","$22,162,754,104 ","$305,247,273,085 "
03-Aug-21,"$2,609.41 ","$2,630.31 ","$2,449.35 ","$2,502.35 ","$22,696,753,413 ","$292,673,137,937 "
04-Aug-21,"$2,508.54 ","$2,764.44 ","$2,463.47 ","$2,724.62 ","$25,038,698,173 ","$318,705,809,705 "
05-Aug-21,"$2,725.67 ","$2,840.43 ","$2,540.68 ","$2,827.33 ","$31,057,928,075 ","$330,757,177,808 "
06-Aug-21,"$2,827.50 ","$2,944.90 ","$2,727.79 ","$2,890.94 ","$26,528,577,879 ","$338,237,757,600 "
07-Aug-21,"$2,891.71 ","$3,170.23 ","$2,868.54 ","$3,157.24 ","$33,081,467,129 ","$369,437,242,138 "
08-Aug-21,"$3,161.23 ","$3,184.60 ","$2,951.75 ","$3,013.73 ","$28,433,638,008 ","$352,685,939,542 "
09-Aug-21,"$3,012.89 ","$3,185.70 ","$2,900.93 ","$3,167.86 ","$31,983,260,936 ","$370,765,447,257 "
10-Aug-21,"$3,163.05 ","$3,228.94 ","$3,059.23 ","$3,141.69 ","$27,605,221,710 ","$367,745,684,864 "
11-Aug-21,"$3,142.83 ","$3,269.21 ","$3,122.92 ","$3,164.25 ","$26,729,035,052 ","$370,427,827,541 "
12-Aug-21,"$3,164.18 ","$3,236.31 ","$2,984.17 ","$3,043.41 ","$25,403,699,845 ","$356,323,695,446 "
13-Aug-21,"$3,049.00 ","$3,324.67 ","$3,037.68 ","$3,322.21 ","$23,868,866,254 ","$389,010,223,400 "
14-Aug-21,"$3,322.76 ","$3,329.28 ","$3,214.52 ","$3,265.44 ","$19,860,862,133 ","$382,406,961,576 "
15-Aug-21,"$3,266.28 ","$3,320.08 ","$3,117.79 ","$3,310.50 ","$22,166,205,051 ","$387,728,432,650 "
16-Aug-21,"$3,309.42 ","$3,333.99 ","$3,139.78 ","$3,156.51 ","$23,080,039,949 ","$369,734,989,544 "
17-Aug-21,"$3,149.38 ","$3,288.81 ","$2,996.47 ","$3,014.85 ","$25,509,056,745 ","$353,182,540,849 "
18-Aug-21,"$3,011.96 ","$3,124.98 ","$2,959.03 ","$3,020.09 ","$21,539,248,425 ","$353,837,223,420 "
19-Aug-21,"$3,019.13 ","$3,184.44 ","$2,963.15 ","$3,182.70 ","$19,546,290,360 ","$372,932,559,773 "
20-Aug-21,"$3,182.16 ","$3,298.25 ","$3,178.10 ","$3,286.94 ","$20,885,619,828 ","$385,190,199,131 "
21-Aug-21,"$3,286.93 ","$3,307.35 ","$3,209.87 ","$3,226.08 ","$18,113,977,628 ","$378,102,594,336 "
22-Aug-21,"$3,226.23 ","$3,272.73 ","$3,142.01 ","$3,242.12 ","$15,983,278,460 ","$380,025,418,317 "
23-Aug-21,"$3,241.36 ","$3,373.38 ","$3,235.85 ","$3,319.26 ","$20,511,110,509 ","$389,112,198,985 "
24-Aug-21,"$3,324.86 ","$3,358.69 ","$3,154.12 ","$3,172.46 ","$20,131,028,906 ","$371,945,926,397 "
25-Aug-21,"$3,174.27 ","$3,248.73 ","$3,086.11 ","$3,224.92 ","$18,902,728,235 ","$378,139,623,273 "
26-Aug-21,"$3,228.75 ","$3,249.66 ","$3,060.23 ","$3,100.33 ","$17,405,668,117 ","$363,573,005,236 "
27-Aug-21,"$3,096.41 ","$3,281.84 ","$3,064.49 ","$3,270.60 ","$18,489,602,004 ","$383,584,756,115 "
28-Aug-21,"$3,275.10 ","$3,284.85 ","$3,217.40 ","$3,244.40 ","$13,709,633,698 ","$380,556,000,846 "
29-Aug-21,"$3,246.77 ","$3,283.24 ","$3,158.84 ","$3,227.00 ","$13,296,586,731 ","$378,558,550,046 "
30-Aug-21,"$3,227.19 ","$3,346.58 ","$3,151.44 ","$3,224.37 ","$19,306,924,485 ","$378,293,803,192 "
31-Aug-21,"$3,227.76 ","$3,466.99 ","$3,195.22 ","$3,433.73 ","$27,280,502,987 ","$402,902,770,210 "
01-Sep-21,"$3,430.76 ","$3,836.87 ","$3,387.41 ","$3,834.83 ","$30,070,890,104 ","$450,017,458,312 "
02-Sep-21,"$3,825.03 ","$3,830.71 ","$3,726.75 ","$3,790.99 ","$24,387,397,330 ","$444,924,932,307 "
03-Sep-21,"$3,787.49 ","$4,022.47 ","$3,712.68 ","$3,940.61 ","$26,207,765,094 ","$462,538,485,147 "
04-Sep-21,"$3,937.91 ","$3,969.45 ","$3,837.93 ","$3,887.83 ","$20,806,963,328 ","$456,394,981,337 "
05-Sep-21,"$3,886.33 ","$3,979.19 ","$3,838.49 ","$3,952.13 ","$18,371,468,576 ","$463,997,267,858 "
06-Sep-21,"$3,951.52 ","$3,968.43 ","$3,868.99 ","$3,928.38 ","$18,674,691,198 ","$461,261,434,464 "
07-Sep-21,"$3,926.53 ","$3,945.31 ","$3,062.22 ","$3,426.39 ","$39,131,346,397 ","$402,365,928,843 "
08-Sep-21,"$3,428.38 ","$3,559.12 ","$3,224.76 ","$3,497.32 ","$31,738,430,771 ","$410,741,599,782 "
09-Sep-21,"$3,452.55 ","$3,562.99 ","$3,400.52 ","$3,427.34 ","$24,118,055,831 ","$402,569,602,098 "
10-Sep-21,"$3,425.56 ","$3,512.57 ","$3,157.06 ","$3,211.51 ","$22,355,974,097 ","$377,261,165,406 "
11-Sep-21,"$3,209.03 ","$3,346.53 ","$3,208.96 ","$3,270.28 ","$18,627,122,934 ","$384,209,314,701 "
12-Sep-21,"$3,270.29 ","$3,462.47 ","$3,235.11 ","$3,410.13 ","$16,810,411,424 ","$400,686,506,367 "
13-Sep-21,"$3,407.47 ","$3,426.50 ","$3,121.51 ","$3,285.51 ","$22,721,552,948 ","$386,087,569,776 "
14-Sep-21,"$3,286.32 ","$3,429.17 ","$3,273.63 ","$3,429.17 ","$19,125,420,848 ","$403,015,177,032 "
15-Sep-21,"$3,431.22 ","$3,615.28 ","$3,365.91 ","$3,615.28 ","$17,548,551,804 ","$424,937,147,897 "
16-Sep-21,"$3,613.07 ","$3,673.31 ","$3,489.81 ","$3,571.29 ","$20,093,903,064 ","$419,815,044,704 "
17-Sep-21,"$3,569.57 ","$3,589.31 ","$3,356.45 ","$3,398.54 ","$17,722,363,229 ","$399,552,923,890 "
18-Sep-21,"$3,397.42 ","$3,540.81 ","$3,371.89 ","$3,432.02 ","$15,995,220,233 ","$403,535,591,621 "
19-Sep-21,"$3,433.29 ","$3,448.32 ","$3,286.17 ","$3,329.45 ","$14,257,609,743 ","$391,520,172,702 "
20-Sep-21,"$3,329.67 ","$3,343.33 ","$2,940.84 ","$2,958.99 ","$27,371,684,581 ","$347,997,332,693 "
21-Sep-21,"$2,977.31 ","$3,101.70 ","$2,676.41 ","$2,764.43 ","$30,405,062,665 ","$325,153,006,769 "
22-Sep-21,"$2,763.21 ","$3,089.08 ","$2,741.44 ","$3,077.87 ","$23,742,102,645 ","$362,060,838,609 "
23-Sep-21,"$3,077.97 ","$3,173.54 ","$3,038.10 ","$3,155.52 ","$18,516,291,047 ","$371,237,859,101 "
24-Sep-21,"$3,154.56 ","$3,159.64 ","$2,747.34 ","$2,931.67 ","$25,595,422,789 ","$344,941,570,042 "
25-Sep-21,"$2,930.88 ","$2,968.99 ","$2,818.97 ","$2,925.57 ","$18,932,786,754 ","$344,263,323,578 "
26-Sep-21,"$2,926.34 ","$3,114.86 ","$2,744.58 ","$3,062.27 ","$21,172,766,310 ","$360,390,447,457 "
27-Sep-21,"$3,065.84 ","$3,163.67 ","$2,932.69 ","$2,934.14 ","$19,164,053,681 ","$345,350,983,222 "
28-Sep-21,"$2,928.96 ","$2,970.77 ","$2,793.36 ","$2,807.30 ","$16,895,079,070 ","$330,459,005,352 "
29-Sep-21,"$2,809.30 ","$2,946.88 ","$2,786.99 ","$2,853.14 ","$15,763,456,158 ","$335,894,451,616 "
30-Sep-21,"$2,852.56 ","$3,046.52 ","$2,840.29 ","$3,001.68 ","$17,661,065,099 ","$353,421,264,860 "
01-Oct-21,"$3,001.13 ","$3,329.85 ","$2,978.65 ","$3,307.52 ","$22,307,625,573 ","$389,475,327,627 "
02-Oct-21,"$3,308.87 ","$3,464.84 ","$3,260.03 ","$3,391.69 ","$19,202,671,704 ","$399,433,404,741 "
03-Oct-21,"$3,390.77 ","$3,484.61 ","$3,348.12 ","$3,418.36 ","$15,516,566,862 ","$402,619,122,254 "
04-Oct-21,"$3,418.78 ","$3,434.78 ","$3,283.45 ","$3,380.09 ","$17,747,154,101 ","$398,156,802,049 "
05-Oct-21,"$3,381.78 ","$3,541.45 ","$3,365.82 ","$3,518.52 ","$16,632,591,670 ","$414,510,299,768 "
06-Oct-21,"$3,516.57 ","$3,622.55 ","$3,354.47 ","$3,580.56 ","$21,855,226,591 ","$421,867,592,042 "
07-Oct-21,"$3,576.81 ","$3,650.01 ","$3,479.91 ","$3,587.97 ","$19,090,322,927 ","$422,788,897,812 "
08-Oct-21,"$3,587.83 ","$3,667.96 ","$3,547.83 ","$3,563.76 ","$16,222,029,488 ","$419,983,193,014 "
